Model,Scope,Discount,Year,SCC
FUND,Global,0.025,2010,16.59159739
FUND,Global,0.03,2010,14.24875773
FUND,Global,0.05,2010,13.2865196
FUND,Global,0.025,2010,17.50935097
FUND,Global,0.03,2010,15.85856488
FUND,Global,0.05,2010,13.48705832
FUND,Global,0.025,2010,15.90012477
FUND,Global,0.03,2010,10.9866686
FUND,Global,0.05,2010,12.09628861
FUND,Global,0.025,2010,18.26571947
FUND,Global,0.03,2010,15.6552271
FUND,Global,0.05,2010,14.25113157
FUND,Global,0.025,2010,16.02146452
FUND,Global,0.03,2010,18.47253001
FUND,Global,0.05,2010,11.93361719
FUND,Global,0.025,2010,15.41394619
FUND,Global,0.03,2010,20.30220537
FUND,Global,0.05,2010,10.46970951
FUND,Global,0.025,2010,17.34733801
FUND,Global,0.03,2010,15.4121213
FUND,Global,0.05,2010,15.99957608
FUND,Global,0.025,2010,12.78115088
FUND,Global,0.03,2010,17.18810095
FUND,Global,0.05,2010,10.29297855
FUND,Global,0.025,2010,18.0094373
FUND,Global,0.03,2010,15.96151855
FUND,Global,0.05,2010,13.46681036
FUND,Global,0.025,2010,14.01941815
FUND,Global,0.03,2010,15.83905046
FUND,Global,0.05,2010,11.9065011
FUND,Global,0.025,2010,13.55282184
FUND,Global,0.03,2010,17.30765137
FUND,Global,0.05,2010,14.9535554
FUND,Global,0.025,2010,18.57760236
FUND,Global,0.03,2010,18.66679693
FUND,Global,0.05,2010,11.27286825
FUND,Global,0.025,2010,17.33302202
FUND,Global,0.03,2010,13.26782687
FUND,Global,0.05,2010,11.70579499
FUND,Global,0.025,2010,12.25487177
FUND,Global,0.03,2010,14.86453623
FUND,Global,0.05,2010,14.70185647
FUND,Global,0.025,2010,18.48060201
FUND,Global,0.03,2010,15.80876281
FUND,Global,0.05,2010,15.02227435
FUND,Global,0.025,2010,17.98468272
FUND,Global,0.03,2010,11.73248136
FUND,Global,0.05,2010,12.22730155
FUND,Global,0.025,2010,14.56599517
FUND,Global,0.03,2010,18.79811636
FUND,Global,0.05,2010,10.31487074
FUND,Global,0.025,2010,13.1824222
FUND,Global,0.03,2010,19.05064601
FUND,Global,0.05,2010,12.19118859
FUND,Global,0.025,2010,16.03588556
FUND,Global,0.03,2010,14.98909481
FUND,Global,0.05,2010,11.88464947
FUND,Global,0.025,2010,13.85140462
FUND,Global,0.03,2010,17.00915184
FUND,Global,0.05,2010,10.26119226
FUND,Global,0.025,2010,16.06542619
FUND,Global,0.03,2010,16.51824492
FUND,Global,0.05,2010,14.63188539
FUND,Global,0.025,2010,14.96855493
FUND,Global,0.03,2010,14.45362075
FUND,Global,0.05,2010,14.96182957
FUND,Global,0.025,2010,14.3625872
FUND,Global,0.03,2010,17.50809118
FUND,Global,0.05,2010,12.69586272
FUND,Global,0.025,2010,19.09560971
FUND,Global,0.03,2010,15.64451952
FUND,Global,0.05,2010,12.93873309
FUND,Global,0.025,2010,14.54353918
FUND,Global,0.03,2010,14.78687851
